0,1,2,3,4,5,6,7
Revenue,"1,240","1,372","1,550","1,693","1,994","2,524","2,906"
Interest,731,793,816,761,799,987,"1,121"
Expenses +,254,334,290,351,458,556,644
Financing Profit,255,244,444,580,737,980,"1,140"
Financing Margin %,21%,18%,29%,34%,37%,39%,39%
Other Income +,-14,-2,-0,-0,-25,-0,0
Depreciation,5,12,11,13,16,21,25
Profit before tax,235,231,432,567,696,959,"1,116"
Tax %,31%,18%,21%,22%,22%,22%,
Net Profit +,162,189,340,445,545,749,868
EPS in Rs,64.51,47.99,8.61,11.26,13.80,18.96,20.63
Dividend Payout %,11%,-0%,-0%,-0%,-0%,-0%,
