0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"5,303","5,510","6,189","6,796","7,220","7,786","7,754","7,836","6,921","7,294","7,973","8,606","9,251"
Expenses +,"3,922","3,999","4,552","4,765","5,486","6,046","6,286","6,292","5,633","6,075","6,686","7,725","8,373"
Operating Profit,"1,381","1,511","1,637","2,031","1,734","1,740","1,467","1,544","1,289","1,219","1,287",881,878
OPM %,26%,27%,26%,30%,24%,22%,19%,20%,19%,17%,16%,10%,9%
Other Income +,107,100,85,-61,334,377,722,673,637,906,968,"1,618","1,647"
Interest,408,448,496,555,558,592,574,650,616,611,715,857,855
Depreciation,306,339,343,370,409,426,433,448,463,471,480,720,701
Profit before tax,774,825,883,"1,046","1,101","1,099","1,183","1,119",847,"1,044","1,060",922,969
Tax %,20%,21%,21%,19%,22%,22%,21%,18%,4%,22%,22%,16%,
Net Profit +,618,652,698,845,863,862,937,918,814,816,830,775,787
EPS in Rs,4.95,5.22,5.26,6.38,6.51,6.50,7.07,6.92,6.14,6.15,6.26,5.85,5.94
Dividend Payout %,14%,15%,17%,16%,15%,19%,25%,29%,74%,73%,72%,77%,
