0,1,2,3,4,5,6,7,8,9,10,11
Sales +,181,159,241,273,195,262,241,319,216,310,244
Expenses +,116,121,129,144,123,143,135,185,135,174,146
Operating Profit,65,38,112,129,72,119,106,134,81,137,98
OPM %,36%,24%,46%,47%,37%,45%,44%,42%,38%,44%,40%
Other Income +,8,6,9,12,7,8,8,11,10,10,15
Interest,1,1,1,1,1,1,0,0,0,0,0
Depreciation,14,13,14,14,13,13,14,14,13,13,13
Profit before tax,58,30,106,126,65,113,100,131,78,133,99
Tax %,26%,26%,26%,26%,25%,25%,26%,26%,25%,26%,25%
Net Profit +,43,22,79,94,48,84,75,97,58,99,74
EPS in Rs,45.32,2.14,7.56,8.94,4.63,8.08,7.13,9.29,5.57,9.43,7.08
Raw PDF,,,,,,,,,,,
