0,1,2,3,4,5,6,7,8,9
Equity Capital,48,81,49,49,50,51,54,54,54
Reserves,"1,070","1,141","1,230","1,341","1,434","1,689","2,435","2,795","2,995"
Borrowings +,215,168,168,51,228,308,288,260,223
Other Liabilities +,303,318,310,517,291,314,402,414,475
Total Liabilities,"1,637","1,709","1,758","1,958","2,002","2,361","3,179","3,523","3,746"
Fixed Assets +,966,"1,162",869,929,851,827,810,841,"1,037"
CWIP,8,7,5,3,4,6,75,184,259
Investments,21,0,356,500,626,734,765,790,791
Other Assets +,642,540,528,525,521,794,"1,529","1,708","1,659"
Total Assets,"1,637","1,709","1,758","1,958","2,002","2,361","3,179","3,523","3,746"
